Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0402_1005Metric",197.250000,-42.000000,-90.000000,top
"C2","22uF","C_0402_1005Metric",200.000000,-42.500000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",200.000000,-43.750000,0.000000,top
"C4","10uF","C_0402_1005Metric",179.500000,-45.500000,0.000000,top
"C5","10uF","C_0402_1005Metric",176.750000,-39.500000,90.000000,top
"C6","0.1uF","C_0402_1005Metric",194.945000,-74.549000,0.000000,top
"J1","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",198.250000,-83.862500,0.000000,top
"J2","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",198.250000,-32.137500,180.000000,top
"J3","Conn_01x10_Female","JST_XH_B10B-XH-AM_1x10_P2.50mm_Vertical",190.000000,-34.025000,180.000000,top
"J4","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",188.075000,-85.000000,-90.000000,top
"J5","Conn_01x05","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",163.000000,-49.500000,0.000000,top
"J6","Conn_01x05","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",163.000000,-41.000000,0.000000,top
"J7","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",188.075000,-82.460000,-90.000000,top
"J8","Conn_01x05","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",163.000000,-57.950000,0.000000,top
"J9","Conn_01x05","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",163.000000,-75.000000,0.000000,top
"J10","Conn_01x05","JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical",163.000000,-66.400000,0.000000,top
"J11","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",188.075000,-79.920000,-90.000000,top
"R1","5K1","R_0402_1005Metric",205.500000,-79.000000,-90.000000,top
"R2","10K","R_0402_1005Metric",197.750000,-43.750000,180.000000,top
"R3","5K1","R_0402_1005Metric",204.250000,-79.000000,90.000000,top
"R4","5K1","R_0402_1005Metric",204.000000,-37.250000,90.000000,top
"R5","5K1","R_0402_1005Metric",205.250000,-37.250000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",178.689000,-54.356000,90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_CK_KMR2",205.105000,-40.386000,0.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",192.000000,-54.750000,-90.000000,top
"U2","CD74HC4067SM","SSOP-24_5.3x8.2mm_P0.65mm",188.750000,-71.000000,-90.000000,top
"U4","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",182.250000,-41.000000,0.000000,top
