Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6, C7",0402,4,0.1uF,C129131
C2,0402,1,22uF,C415703
"C4, C5",0402,2,10uF,C315248
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MH,
"J1, J2",HRO_TYPE-C-31-M-12,2,TYPE-C-31-M-12,C165948
"J10, J5, J6, J8, J9",JST_BM05B-SRSS-TB_LF__SN_,5,BM05B-SRSS-TB_LF__SN_,C160391
"J11, J4, J7",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05_Female,C492404
J3,JST_BM10B-SRSS-TB_LF__SN_,1,BM10B-SRSS-TB_LF__SN_,C160396
"R1, R3, R4, R5",0402,4,5K1,C105872
R2,0402,1,10K,C427247
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,C221678
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,9,TestPoint,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,CD74HC4067SM,C496123
U3,LED_WS2812-2020,1,WS2812-2020,C965555
U4,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C146799
